NG_Ministry,GOK_-_Draft_Estimated_KES,GOK_-_Supplementary_Estimated_I__KES,GOK_-_Supplementary_Estimated_II__KES,GOK_-_Off-Budget_Estimated_KES,Total_-_GOK_Budget_Est_KES,Loan_-_Draft_Estimated_KES,Loan_-_Supplementary_Estimated_I_KES,Loan_-_Supplementary_Estimated_II_KES,Loan_-_Off-Budget_Estimated_KES,Total_-_Loan_Budget_Est_KES,Grant_-_Draft_Estimated_KES,Grant_-_Supplementary_Estimated_I_KES,Grant_-_Supplementary_Estimated_II_KES,Grant_-_Off-Budget_Estimated_KES,Total_-_Grant_Budget_Est_KES,Total_2013/2014_Budget_KES,OBJECTID
 Ministry of Industialization and Enterprise Development,10200000,188150000,0,0,198350000,,,,,0,145250000,134700000,134700000,0,414650000,613000000,0
 State Department of Transport,320000000,400000000,6650000000,0,7370000000,14621096404,14780000000,13674704704,0,43075801108,800000000,885000000,1007000000,0,2692000000,53137801108,1
 State Department of planning,6827202388,1608256298,0,0,8435458686,1417654269,1811446269,1360905686,0,4590006224,10096314472,10062557131,9208231378,0,29367102979,42392567889,2
 Ministry of Sports Culture and Arts,,,,,0,,,,,0,127000000,127000000,127000000,0,381000000,381000000,3
 The National Treasury,13000000,54000000,0,0,67000000,2168500000,1729750000,1509569701,0,5407819701,528475000,609340195,842175000,0,1979990195,7454809896,4
 State Department for Commerce and Tourism,,,,,0,,,,,0,50250000,39700000,0,0,89950000,89950000,5
The Presidency,130000000,0,0,0,0,582712282,929693629,929693629,0,2442099540,120000000,0,0,0,120000000,2562099540,6
 State Department for Environment  and Natural Resources,25000000,0,0,0,25000000,,,,,0,808223004,1042782025,1042782025,0,2893787054,2918787054,7
State Department for Interior,100000000,30000000,0,0,130000000,,,,,0,128000000,128000000,32710000,0,288710000,418710000,8
 Ministry of Foreign Affairs,20000000000,0,0,0,20000000000,,,,,0,0,23000000,23000000,0,46000000,20046000000,9
 State Department of Infrastructure,18920801828,4618801055,0,0,23539602883,40968575000,37647000000,29118400000,0,107734000000,6754200000,10857100000,5820000000,0,23431300000,154705000000,10
 Office of The Attorney General and Department of Justice,,,,,0,2150000000,1196297500,1196297500,0,4542595000,647590120,617099890,504879890,0,1769569900,6312164900,11
 State Department for East African Affairs,20000000,20000000,0,0,40000000,,,,,0,160760430,160360430,160360430,0,481481290,521481290,12
 State Department for Livestock,23401262,23401262,18480000,0,65282524,265535540,398551400,367701400,0,1031788340,24743460,6683460,6683460,0,38110380,1135181244,13
 State Department for Agriculture,594543045,1218903258,369534000,0,2182980303,6162332254,7859591522,6965259841,0,20987183617,2329760933,2825606514,3915137709,0,9070505156,32240669076,14
 Ministry of Health,1565362764,1541066764,0,0,3106429528,2266500000,5497925000,6909925000,0,14674350000,20595406468,23655334188,12414794024,3524395000,60189929679,77970709207,15
 Ministry of Land Housing and Urban Development,585992441,1424324693,0,0,2010317134,11369258598,11221780592,9948743785,0,32539782975,1573794759,911852227,405750506,0,2891397492,37381497601,16
 State Department for Coordination of National Government,,,,,0,,,,,0,,,,,0,0,17
 State Department for Devolution,337017000,50266000,0,0,387283000,2231534141,3459670640,3011120640,0,8702325421,3302601730,3246825000,2319061667,1689285714,10557774111,19647382532,18
 State Department for Water and Regional Authorities.,208260000,134500000,0,0,342760000,535000000,852122400,852122400,0,2239244800,200000000,200000000,30000000,0,430000000,3012004800,19
 Independent Electoral and Boundaries Commission,0,0,0,12004386,12004386,,,,,0,,,,,0,12004386,20
 State Department for Education,15436245287,15116000000,0,375010282,30927255569,5369578224,4919118994,3729386817,0,14018084035,1328655009,3059035015,2858650468,0,7246340492,52191680096,21
 Ministry of Energy & Petroleum,2216641102,302490497,0,0,2519131599,41537258808,45453037260,43413326415,0,130404000000,1328801414,3556798114,1635500000,0,6521099528,139444000000,22
 Ministry of Devolution and Planning,1268909320,1769508255,5800000,0,3044217575,15590605862,17256056862,11414586462,0,44261249186,4149853063,3850366563,2828235705,0,10828455331,58133922092,23
 Ministry of Information and Communications and Technology,54275851,27445000,0,0,81720851,5600478868,5135060100,5104799446,0,15840338414,891897791,867677911,467677911,0,2227253612,18149312877,24
 Ministry of Labour Social Security and Services,24000000,0,0,0,24000000,1168211499,1168211499,1057107749,0,3393530747,1558733339,1034937924,1034937923,0,3628609186,7046139933,25
